,store_id,city,channel,gender_group,age_group,wkd_ind,product,customer,revenue,order,quant,unit_cost
70,831,杭州,线下,Male,30-34,Weekday,T恤,1,79.0,1,1,49
71,758,杭州,线下,Female,30-34,Weekend,T恤,1,79.0,1,1,49
72,335,上海,线下,Female,30-34,Weekday,短裤,1,33.0,1,1,19
73,256,武汉,线下,Male,25-29,Weekday,当季新品,1,57.0,1,1,59
74,649,杭州,线下,Male,20-24,Weekday,T恤,1,79.0,1,1,49
75,479,深圳,线下,Male,>=60,Weekday,T恤,1,79.0,1,1,49
76,480,重庆,线下,Female,20-24,Weekday,T恤,1,39.0,1,1,49
77,231,广州,线下,Female,>=60,Weekend,毛衣,1,0.0,1,1,99
78,437,重庆,线下,Unkown,Unkown,Weekend,T恤,1,99.0,1,1,49
79,758,杭州,线下,Female,40-44,Weekday,当季新品,1,75.0,1,1,59
80,802,西安,线下,Male,>=60,Weekday,T恤,1,59.0,1,1,49
81,312,杭州,线下,Male,35-39,Weekend,袜子,2,79.0,2,4,9
82,323,武汉,线下,Female,25-29,Weekday,T恤,2,134.33,2,2,49
83,168,武汉,线下,Male,25-29,Weekday,袜子,1,79.0,1,1,9
84,98,成都,线下,Male,30-34,Weekday,T恤,1,498.0,1,2,49
85,20,深圳,线下,Female,20-24,Weekday,T恤,2,158.0,2,2,49
86,399,广州,线下,Female,35-39,Weekday,当季新品,1,76.0,1,1,59
87,52,武汉,线上,Male,40-44,Weekday,当季新品,1,79.0,1,1,59
88,442,西安,线下,Female,30-34,Weekend,T恤,1,79.0,1,1,49
89,50,武汉,线上,Female,25-29,Weekend,T恤,1,79.0,1,1,49
90,312,杭州,线下,Male,30-34,Weekend,T恤,1,99.0,1,1,49
91,796,深圳,线下,Female,55-59,Weekday,短裤,1,40.0,1,1,19
92,360,成都,线下,Female,25-29,Weekday,T恤,1,79.0,1,1,49
93,20,深圳,线下,Female,35-39,Weekend,T恤,2,156.0,2,2,49
94,208,重庆,线下,Female,30-34,Weekday,牛仔裤,2,77.0,2,2,69
95,91,武汉,线上,Male,>=60,Weekday,当季新品,1,49.0,1,1,59
96,20,深圳,线下,Female,30-34,Weekday,当季新品,1,76.0,1,1,59
97,182,广州,线上,Female,35-39,Weekday,T恤,2,158.0,2,2,49
98,437,重庆,线下,Male,20-24,Weekend,当季新品,1,99.0,1,1,59
99,496,上海,线下,Female,20-24,Weekend,袜子,1,79.0,1,1,9
100,146,杭州,线下,Female,>=60,Weekday,T恤,1,39.0,1,1,49
101,255,杭州,线下,Male,35-39,Weekday,当季新品,2,391.0,2,2,59
102,369,广州,线下,Male,30-34,Weekend,T恤,1,99.0,1,1,49
103,68,重庆,线上,Female,25-29,Weekday,T恤,1,79.0,1,1,49
104,420,广州,线上,Female,20-24,Weekend,T恤,2,118.0,2,2,49
105,137,西安,线上,Female,35-39,Weekday,T恤,2,78.0,2,2,49
106,648,西安,线下,Female,30-34,Weekday,当季新品,1,54.0,1,1,59
107,98,成都,线下,Female,45-49,Weekend,当季新品,1,139.0,1,1,59
108,256,武汉,线下,Female,30-34,Weekday,运动,1,39.0,1,1,49
109,737,深圳,线下,Female,30-34,Weekend,袜子,2,40.0,2,2,9
110,248,杭州,线下,Male,20-24,Weekend,T恤,1,199.0,1,1,49
111,335,上海,线下,Female,30-34,Weekend,T恤,1,79.0,1,1,49
112,479,深圳,线下,Male,20-24,Weekend,T恤,1,79.0,1,1,49
113,52,武汉,线上,Female,25-29,Weekend,T恤,3,397.0,3,3,49
114,70,深圳,线下,Male,40-44,Weekend,T恤,1,59.0,1,1,49
115,46,武汉,线下,Male,50-54,Weekend,T恤,1,99.0,1,1,49
116,229,深圳,线下,Female,50-54,Weekend,T恤,1,198.0,1,2,49
117,50,武汉,线上,Male,>=60,Weekend,袜子,1,27.0,1,1,9
118,312,杭州,线下,Female,>=60,Weekday,T恤,2,158.0,2,2,49
119,146,杭州,线下,Female,30-34,Weekday,袜子,1,39.0,1,1,9
120,182,广州,线上,Female,30-34,Weekday,牛仔裤,1,38.0,1,1,69
121,248,杭州,线下,Female,30-34,Weekday,裙子,1,199.0,1,1,59
122,336,西安,线下,Female,45-49,Weekend,配件,1,79.0,1,1,29
123,658,深圳,线下,Unkown,Unkown,Weekday,袜子,1,79.0,1,1,9
124,336,西安,线下,Female,25-29,Weekday,短裤,1,39.0,1,1,19
125,146,杭州,线下,Female,20-24,Weekend,袜子,2,58.0,2,2,9
126,575,杭州,线下,Male,25-29,Weekend,T恤,1,79.0,1,1,49
127,325,上海,线下,Female,45-49,Weekday,牛仔裤,1,199.0,1,1,69
128,231,广州,线下,Female,40-44,Weekend,T恤,1,59.0,1,1,49
129,796,深圳,线下,Female,35-39,Weekend,T恤,1,59.0,1,1,49
130,229,深圳,线下,Female,20-24,Weekend,T恤,1,95.0,1,1,49
131,229,深圳,线下,Female,45-49,Weekend,配件,2,138.0,2,2,29
132,137,西安,线上,Male,35-39,Weekday,T恤,1,79.0,1,1,49
133,208,重庆,线下,Female,30-34,Weekday,裙子,2,391.0,2,2,59
134,496,上海,线下,Male,25-29,Weekday,当季新品,1,79.0,1,1,59
135,256,武汉,线下,Female,30-34,Weekend,配件,1,79.0,1,1,29
136,738,深圳,线下,Female,>=60,Weekday,T恤,1,79.0,1,1,49
137,336,西安,线下,Female,20-24,Weekday,袜子,1,27.0,1,1,9
138,616,成都,线下,Female,35-39,Weekday,牛仔裤,1,59.0,1,1,69
139,449,武汉,线下,Female,30-34,Weekday,T恤,1,158.0,1,2,49
140,429,西安,线下,Female,25-29,Weekend,T恤,1,99.0,1,1,49
141,255,杭州,线下,Male,25-29,Weekday,当季新品,1,54.0,1,1,59
142,256,武汉,线下,Female,50-54,Weekday,T恤,1,156.0,1,2,49
143,519,杭州,线下,Female,45-49,Weekday,短裤,1,37.0,1,1,19
144,207,上海,线上,Female,35-39,Weekday,牛仔裤,1,39.0,1,1,69
145,399,广州,线下,Female,40-44,Weekday,T恤,1,249.0,1,1,49
146,658,深圳,线下,Female,45-49,Weekend,T恤,1,99.0,1,1,49
147,611,深圳,线下,Female,50-54,Weekday,袜子,1,79.0,1,1,9
148,255,杭州,线下,Male,25-29,Weekday,短裤,1,33.0,1,1,19
149,20,深圳,线下,Female,30-34,Weekday,袜子,1,66.0,1,3,9
150,135,上海,线下,Female,30-34,Weekend,T恤,4,646.0,4,4,49
151,98,成都,线下,Female,30-34,Weekend,T恤,1,99.0,1,1,49
152,796,深圳,线下,Female,55-59,Weekday,T恤,1,99.0,1,1,49
153,148,深圳,线下,Female,<20,Weekday,T恤,1,59.0,1,1,49
154,146,杭州,线下,Male,25-29,Weekday,袜子,1,26.0,1,1,9
155,479,深圳,线下,Male,>=60,Weekday,短裤,1,39.0,1,1,19
156,429,西安,线下,Male,20-24,Weekday,T恤,3,157.0,3,3,49
157,28,武汉,线上,Male,25-29,Weekday,T恤,2,198.0,2,2,49
158,658,深圳,线下,Female,30-34,Weekend,袜子,1,18.0,1,1,9
159,146,杭州,线下,Female,25-29,Weekend,T恤,2,158.0,2,2,49
160,336,西安,线下,Female,40-44,Weekend,当季新品,1,79.0,1,1,59
161,399,广州,线下,Male,50-54,Weekday,短裤,1,38.0,1,1,19
162,335,上海,线下,Male,35-39,Weekend,当季新品,1,73.0,1,1,59
163,335,上海,线下,Male,>=60,Weekend,T恤,2,217.0,2,3,49
164,280,深圳,线下,Male,20-24,Weekday,T恤,1,59.0,1,1,49
165,182,广州,线上,Female,25-29,Weekend,运动,1,149.0,1,1,49
166,658,深圳,线下,Female,20-24,Weekday,配件,1,298.0,1,2,29
167,738,深圳,线下,Female,55-59,Weekday,当季新品,1,76.0,1,1,59
168,21,北京,线下,Female,35-39,Weekday,毛衣,3,447.0,3,3,99
169,429,西安,线下,Female,30-34,Weekend,运动,1,39.0,1,1,49
170,148,深圳,线下,Female,<20,Weekend,T恤,1,99.0,1,1,49
171,32,武汉,线上,Female,25-29,Weekend,T恤,2,198.0,2,2,49
172,245,杭州,线下,Female,20-24,Weekend,当季新品,1,149.0,1,1,59
173,70,深圳,线下,Female,20-24,Weekday,T恤,1,99.0,1,1,49
174,519,杭州,线下,Female,45-49,Weekday,配件,1,79.0,1,1,29
175,21,北京,线下,Female,45-49,Weekend,配件,1,149.0,1,1,29
176,98,成都,线下,Male,45-49,Weekday,袜子,1,39.0,1,2,9
177,70,深圳,线下,Female,30-34,Weekend,袜子,1,153.0,1,6,9
178,738,深圳,线下,Male,30-34,Weekday,当季新品,7,1405.55,8,8,59
179,256,武汉,线下,Male,>=60,Weekday,袜子,1,39.0,1,2,9
180,20,深圳,线下,Male,>=60,Weekday,T恤,3,292.82,3,3,49
181,375,广州,线上,Male,30-34,Weekday,毛衣,3,547.0,3,3,99
182,437,重庆,线下,Male,45-49,Weekday,配件,1,79.0,1,1,29
183,20,深圳,线下,Male,25-29,Weekday,牛仔裤,1,39.0,1,1,69
184,52,武汉,线上,Female,40-44,Weekday,T恤,1,79.0,1,1,49
185,19,南京,线下,Female,30-34,Weekend,T恤,1,79.0,1,1,49
186,480,重庆,线下,Male,25-29,Weekend,袜子,1,53.0,1,2,9
187,207,上海,线上,Male,30-34,Weekday,T恤,1,99.0,1,1,49
188,248,杭州,线下,Female,35-39,Weekday,配件,5,395.0,5,5,29
189,207,上海,线上,Female,50-54,Weekday,配件,1,115.62,1,2,29
190,248,杭州,线下,Male,30-34,Weekday,当季新品,2,136.0,2,2,59
191,245,杭州,线下,Female,30-34,Weekday,当季新品,1,79.0,1,1,59
192,135,上海,线下,Female,30-34,Weekday,袜子,2,66.0,2,3,9
193,738,深圳,线下,Male,30-34,Weekend,T恤,1,79.0,1,1,49
194,255,杭州,线下,Female,<20,Weekday,短裤,1,33.0,1,1,19
195,360,成都,线下,Female,30-34,Weekday,裙子,3,447.0,3,3,59
196,229,深圳,线下,Female,20-24,Weekday,袜子,1,59.0,1,1,9
197,758,杭州,线下,Female,20-24,Weekday,配件,1,199.0,1,1,29
198,280,深圳,线下,Female,20-24,Weekend,T恤,2,198.0,2,2,49
199,208,重庆,线下,Male,20-24,Weekend,T恤,1,99.0,1,1,49
200,98,成都,线下,Male,25-29,Weekend,T恤,1,99.0,1,1,49
201,146,杭州,线下,Male,<20,Weekday,裙子,3,447.0,3,3,59
202,231,广州,线下,Female,35-39,Weekday,T恤,1,79.0,1,1,49
203,98,成都,线下,Male,30-34,Weekday,T恤,1,198.0,1,2,49
204,312,杭州,线下,Male,25-29,Weekend,当季新品,1,73.0,1,1,59
205,480,重庆,线下,Female,25-29,Weekday,T恤,1,99.0,1,1,49
206,280,深圳,线下,Female,40-44,Weekend,当季新品,2,150.0,2,2,59
207,255,杭州,线下,Female,20-24,Weekday,袜子,1,79.0,1,1,9
208,182,广州,线上,Female,55-59,Weekday,当季新品,1,199.0,1,1,59
209,98,成都,线下,Female,35-39,Weekday,T恤,2,78.0,2,2,49
210,336,西安,线下,Female,35-39,Weekday,牛仔裤,1,39.0,1,1,69
211,369,广州,线下,Female,40-44,Weekend,袜子,1,79.0,1,1,9
212,229,深圳,线下,Male,35-39,Weekend,T恤,1,79.0,1,1,49
213,245,杭州,线下,Female,30-34,Weekday,T恤,1,58.27,1,1,49
214,575,杭州,线下,Female,35-39,Weekend,T恤,1,59.0,1,1,49
215,231,广州,线下,Female,30-34,Weekend,短裤,1,33.0,1,1,19
216,442,西安,线下,Male,35-39,Weekend,T恤,1,99.0,1,1,49
217,245,杭州,线下,Female,30-34,Weekday,当季新品,1,79.0,1,1,59
218,148,深圳,线下,Female,25-29,Weekend,T恤,1,99.0,1,1,49
219,91,武汉,线上,Female,35-39,Weekday,T恤,2,198.0,2,2,49
220,231,广州,线下,Female,40-44,Weekday,袜子,2,138.0,2,2,9
221,669,重庆,线下,Male,20-24,Weekday,短裤,1,40.0,1,1,19
222,20,深圳,线下,Male,20-24,Weekday,T恤,1,79.0,1,1,49
223,375,广州,线上,Female,35-39,Weekend,裙子,1,149.0,1,1,59
224,575,杭州,线下,Female,35-39,Weekday,T恤,3,215.0,3,5,49
225,335,上海,线下,Male,30-34,Weekday,T恤,1,198.0,1,2,49
226,19,南京,线下,Female,30-34,Weekday,T恤,1,96.0,1,1,49
227,496,上海,线下,Female,25-29,Weekday,当季新品,2,108.0,2,2,59
228,208,重庆,线下,Female,30-34,Weekday,当季新品,8,1791.0,8,9,59
229,315,武汉,线下,Female,20-24,Weekend,T恤,2,78.0,2,2,49
230,480,重庆,线下,Female,40-44,Weekday,T恤,2,78.0,2,2,49
231,519,杭州,线下,Male,40-44,Weekday,运动,1,39.0,1,1,49
232,137,西安,线上,Male,>=60,Weekend,短裤,2,139.0,2,4,19
233,449,武汉,线下,Male,25-29,Weekday,T恤,1,99.0,1,1,49
234,256,武汉,线下,Male,20-24,Weekday,T恤,1,99.0,1,1,49
235,360,成都,线下,Female,40-44,Weekday,运动,1,79.0,1,1,49
236,19,南京,线下,Female,30-34,Weekday,裙子,2,198.0,2,2,59
237,168,武汉,线下,Male,25-29,Weekday,T恤,1,79.0,1,1,49
238,430,成都,线下,Female,35-39,Weekday,当季新品,1,46.0,1,1,59
239,496,上海,线下,Female,25-29,Weekday,袜子,2,85.0,2,4,9
240,430,成都,线下,Male,>=60,Weekend,运动,1,39.0,1,1,49
241,796,深圳,线下,Female,30-34,Weekend,T恤,2,158.0,2,2,49
242,20,深圳,线下,Female,25-29,Weekday,毛衣,2,398.0,2,2,99
243,759,重庆,线下,Female,25-29,Weekend,当季新品,1,59.0,1,1,59
244,648,西安,线下,Female,25-29,Weekday,袜子,1,19.0,1,1,9
245,437,重庆,线下,Male,25-29,Weekday,T恤,1,76.0,1,1,49
246,168,武汉,线下,Female,40-44,Weekday,袜子,1,26.0,1,1,9
247,245,杭州,线下,Female,55-59,Weekday,运动,1,33.0,1,1,49
248,19,南京,线下,Female,40-44,Weekend,T恤,1,198.0,1,2,49
249,32,武汉,线上,Male,25-29,Weekday,袜子,2,47.0,2,2,9
250,605,成都,线下,Female,45-49,Weekday,配件,1,79.0,1,1,29
251,148,深圳,线下,Female,30-34,Weekday,当季新品,2,111.0,2,2,59
252,737,深圳,线下,Female,40-44,Weekend,短裤,1,79.0,1,1,19
253,207,上海,线上,Female,20-24,Weekday,T恤,1,79.0,1,1,49
254,738,深圳,线下,Female,30-34,Weekend,配件,1,79.0,1,1,29
255,669,重庆,线下,Female,30-34,Weekend,袜子,2,38.0,2,2,9
256,360,成都,线下,Female,40-44,Weekday,毛衣,1,199.0,1,1,99
257,182,广州,线上,Female,30-34,Weekday,袜子,1,39.0,1,1,9
258,70,深圳,线下,Female,35-39,Weekend,运动,1,39.0,1,1,49
259,135,上海,线下,Male,20-24,Weekday,T恤,1,198.0,1,2,49
260,437,重庆,线下,Female,25-29,Weekday,牛仔裤,8,1392.0,8,8,69
261,758,杭州,线下,Female,50-54,Weekend,当季新品,1,199.0,1,1,59
262,248,杭州,线下,Female,25-29,Weekday,牛仔裤,1,39.0,1,1,69
263,21,北京,线下,Male,20-24,Weekday,T恤,1,55.33,1,1,49
264,135,上海,线下,Female,25-29,Weekend,T恤,1,59.0,1,1,49
265,229,深圳,线下,Female,50-54,Weekday,配件,1,149.0,1,1,29
266,135,上海,线下,Female,25-29,Weekend,T恤,7,628.0,7,8,49
267,449,武汉,线下,Female,55-59,Weekend,T恤,1,79.0,1,1,49
268,280,深圳,线下,Female,35-39,Weekday,T恤,2,298.0,2,2,49
269,182,广州,线上,Female,20-24,Weekend,T恤,1,79.0,1,1,49
270,245,杭州,线下,Female,20-24,Weekday,T恤,1,158.0,1,2,49
271,208,重庆,线下,Male,35-39,Weekday,T恤,1,99.0,1,1,49
272,519,杭州,线下,Female,25-29,Weekend,T恤,1,99.0,1,1,49
273,231,广州,线下,Female,25-29,Weekday,裙子,4,257.0,4,4,59
274,255,杭州,线下,Female,25-29,Weekday,T恤,1,59.0,1,1,49
275,248,杭州,线下,Female,<20,Weekend,T恤,1,79.0,1,1,49
276,605,成都,线下,Female,30-34,Weekend,运动,2,99.0,2,3,49
277,520,杭州,线下,Male,25-29,Weekday,运动,2,66.0,2,2,49
278,91,武汉,线上,Female,20-24,Weekend,运动,2,98.0,2,2,49
279,52,武汉,线上,Female,25-29,Weekday,当季新品,6,1552.4,6,9,59
280,255,杭州,线下,Female,20-24,Weekday,裙子,2,338.0,2,2,59
281,520,杭州,线下,Female,35-39,Weekend,裙子,2,348.0,2,2,59
282,480,重庆,线下,Female,25-29,Weekend,配件,1,199.0,1,1,29
283,323,武汉,线下,Male,>=60,Weekend,T恤,1,59.0,1,1,49
284,280,深圳,线下,Male,35-39,Weekend,运动,1,99.0,1,1,49
285,207,上海,线上,Female,>=60,Weekday,配件,1,99.0,1,1,29
286,312,杭州,线下,Male,25-29,Weekday,T恤,1,79.0,1,1,49
287,20,深圳,线下,Female,30-34,Weekday,T恤,1,79.0,1,1,49
288,325,上海,线下,Female,>=60,Weekend,运动,1,39.0,1,1,49
289,21,北京,线下,Female,35-39,Weekend,牛仔裤,1,199.0,1,1,69
290,360,成都,线下,Female,20-24,Weekend,T恤,1,198.0,1,2,49
291,142,上海,线下,Female,45-49,Weekend,T恤,3,217.0,3,3,49
292,148,深圳,线下,Female,30-34,Weekday,当季新品,1,38.0,1,1,59
293,20,深圳,线下,Female,35-39,Weekday,T恤,1,59.0,1,1,49
294,21,北京,线下,Female,30-34,Weekday,当季新品,3,123.0,3,3,59
295,21,北京,线下,Male,35-39,Weekend,运动,1,99.0,1,3,49
296,429,西安,线下,Female,30-34,Weekend,T恤,1,79.0,1,1,49
297,142,上海,线下,Male,35-39,Weekend,T恤,1,59.0,1,1,49
298,737,深圳,线下,Male,30-34,Weekday,当季新品,1,79.0,1,1,59
299,430,成都,线下,Female,<20,Weekday,T恤,1,79.0,1,1,49
300,137,西安,线上,Male,25-29,Weekend,T恤,1,79.0,1,1,49
301,50,武汉,线上,Female,25-29,Weekend,当季新品,1,56.0,1,1,59
302,168,武汉,线下,Male,20-24,Weekend,T恤,3,495.0,4,5,49
303,369,广州,线下,Female,35-39,Weekend,运动,1,39.0,1,1,49
304,91,武汉,线上,Male,30-34,Weekday,袜子,1,26.0,1,1,9
305,21,北京,线下,Male,25-29,Weekday,T恤,1,59.0,1,1,49
306,231,广州,线下,Female,35-39,Weekday,当季新品,5,877.0,5,5,59
307,146,杭州,线下,Female,45-49,Weekend,当季新品,2,134.0,2,2,59
308,611,深圳,线下,Male,45-49,Weekday,毛衣,1,149.0,1,1,99
309,21,北京,线下,Female,30-34,Weekday,当季新品,4,792.4,4,4,59
310,449,武汉,线下,Female,25-29,Weekday,T恤,1,79.0,1,1,49
311,796,深圳,线下,Female,40-44,Weekday,牛仔裤,1,39.0,1,1,69
312,70,深圳,线下,Female,25-29,Weekend,裙子,2,398.0,2,2,59
313,91,武汉,线上,Female,25-29,Weekday,袜子,1,19.0,1,1,9
314,312,杭州,线下,Female,35-39,Weekday,裙子,1,199.0,1,1,59
315,207,上海,线上,Female,45-49,Weekday,当季新品,1,19.0,1,1,59
316,737,深圳,线下,Female,35-39,Weekday,T恤,3,457.0,3,3,49
317,437,重庆,线下,Female,40-44,Weekend,T恤,1,79.0,1,1,49
318,135,上海,线下,Female,45-49,Weekend,袜子,1,39.0,1,1,9
319,208,重庆,线下,Male,35-39,Weekend,T恤,1,59.0,1,1,49
320,649,杭州,线下,Male,35-39,Weekend,袜子,1,26.0,1,1,9
321,480,重庆,线下,Female,25-29,Weekend,裙子,1,199.0,1,1,59
322,315,武汉,线下,Female,30-34,Weekday,T恤,1,79.0,1,1,49
323,336,西安,线下,Female,50-54,Weekday,T恤,1,79.0,1,1,49
324,315,武汉,线下,Male,30-34,Weekday,牛仔裤,1,298.0,1,2,69
325,480,重庆,线下,Female,35-39,Weekday,牛仔裤,1,199.0,1,1,69
326,429,西安,线下,Female,45-49,Weekday,T恤,1,79.0,1,1,49
327,312,杭州,线下,Female,30-34,Weekday,运动,1,39.0,1,1,49
328,369,广州,线下,Female,40-44,Weekday,当季新品,1,143.0,1,1,59
329,32,武汉,线上,Female,<20,Weekend,裙子,1,199.0,1,1,59
330,360,成都,线下,Female,30-34,Weekend,短裤,1,39.0,1,1,19
331,207,上海,线上,Male,35-39,Weekend,T恤,1,149.0,1,1,49
332,520,杭州,线下,Male,50-54,Weekday,T恤,1,79.0,1,1,49
333,46,武汉,线下,Male,30-34,Weekday,T恤,1,79.0,1,1,49
334,479,深圳,线下,Female,>=60,Weekend,裙子,1,99.0,1,1,59
335,831,杭州,线下,Female,20-24,Weekend,毛衣,1,149.0,1,1,99
336,429,西安,线下,Male,20-24,Weekend,牛仔裤,1,39.0,1,1,69
337,20,深圳,线下,Female,30-34,Weekday,牛仔裤,5,785.23,5,5,69
338,796,深圳,线下,Female,55-59,Weekend,运动,1,99.0,1,1,49
339,207,上海,线上,Female,35-39,Weekend,牛仔裤,2,348.0,2,2,69
340,142,上海,线下,Female,45-49,Weekday,T恤,1,99.0,1,1,49
341,70,深圳,线下,Male,>=60,Weekend,配件,3,447.0,3,3,29
342,430,成都,线下,Female,30-34,Weekend,T恤,1,59.0,1,1,49
343,325,上海,线下,Female,55-59,Weekend,配件,1,79.0,1,1,29
344,182,广州,线上,Female,30-34,Weekday,T恤,1,99.0,1,1,49
345,479,深圳,线下,Female,30-34,Weekend,短裤,1,39.0,1,1,19
346,207,上海,线上,Male,>=60,Weekend,裙子,2,198.0,2,2,59
347,420,广州,线上,Female,35-39,Weekday,运动,1,32.0,1,1,49
348,831,杭州,线下,Male,>=60,Weekday,短裤,1,40.0,1,1,19
349,520,杭州,线下,Female,40-44,Weekday,T恤,1,99.0,1,1,49
350,21,北京,线下,Female,25-29,Weekend,T恤,6,613.0,6,7,49
351,420,广州,线上,Female,40-44,Weekday,T恤,2,158.0,2,2,49
352,759,重庆,线下,Female,40-44,Weekday,毛衣,2,447.0,2,3,99
353,98,成都,线下,Male,40-44,Weekday,T恤,1,99.0,1,1,49
354,21,北京,线下,Female,35-39,Weekend,配件,17,1816.0,18,24,29
355,168,武汉,线下,Female,35-39,Weekday,T恤,1,39.0,1,1,49
356,46,武汉,线下,Female,30-34,Weekday,T恤,4,396.0,4,4,49
